	tconst	Budget	Box_Office	Star_1	Star_2	Star_3	Star_num1	Star_num2	Star_num3	primaryTitle	startYear	runtimeMinutes	genres	directors	writers	averageRating	numVotes	Story_Line	Ratio	Profitable
2275	tt0493406	2800000	9891729	Reggie Lee	Timothy Bottoms	Jason Connery	nm0498046	nm0000961	nm0001064	Chinaman's Chance: America's Other Slaves	2008	90	Action,Drama,History	nm0018080	nm0018080,nm1408603,nm1412357	5.6	141	"1870's America. A Chinese immigrant falsely accused of murdering a white woman is viciously hunted down; he'll have to prove his innocence in a time when people of color had ""no legal rights"" and could be bought and sold for a profit."	3.53275909544318	True
3016	tt1046163	20000000	41622502	Kate Hudson	Dane Cook	Jason Biggs	nm0005028	nm0176981	nm0004755	My Best Friend's Girl	2008	101	Comedy,Romance	nm0222043	nm2588827	5.9	41164	Dustin, an amiable guy, is in love with Alexis, a coworker. When she tells him she just wants to be friends, he hires his roommate Tank, a fast-talking, amoral scoundrel who has a side business: men whose women have dumped them hire Tank to take their ex-girlfriends out on the date from Hell, to drive the women back into their old boyfriends' arms. He takes out Alexis who, against her better judgment, decides she needs some randy fun, so Tank is in a quandary: take Alexis up on her offer, or stay true to his friend. More complications ensue as the wedding of Alexis's sister approaches. Tank seeks advice from his father, Dustin pursues Alexis, and questions of self-worth need answers.	2.08112499594375	True
5139	tt2406566	30000000	100121713	Charlize Theron	James McAvoy	John Goodman	nm0000234	nm0564215	nm0000422	Atomic Blonde	2017	115	Action,Mystery,Thriller	nm0500610	nm0426500,nm2985952,nm8697009	6.7	156671	The crown jewel of Her Majesty's Secret Intelligence Service, Agent Lorraine Broughton (Theron) is equal parts spycraft, sensuality and savagery, willing to deploy any of her skills to stay alive on her impossible mission. Sent alone into Berlin to deliver a priceless dossier out of the destabilized city, she partners with embedded station chief David Percival (James McAvoy) to navigate her way through the deadliest game of spies.	3.3373903220869887	True
1547	tt0408985	45000000	43343247	Queen Latifah	LL Cool J	Timothy Hutton	nm0001451	nm0005112	nm0000459	Last Holiday	2006	112	Comedy,Romance	nm0911061	nm0696949,nm0780620,nm0697362	6.4	26439	In morte veritas. Georgia Byrd clerks at a New Orleans department store. She defers pleasure: cooks gourmet meals, eats Lean Cuisine; likes a co-worker in silence; has savings, but hasn't left Louisiana. All that changes when a CT Scan discloses she has three weeks to live. She cashes her savings and heads to Europe's Grandhotel Pupp, where Chef Didier presides. She checks into the Presidential Suite, orders everything on the menu, snowboards, and comes to the attention of the chef and the hotel's powerful American guests: a Congressman, a Senator, a retail magnate, and his mistress. She has nothing to lose, so she tells them what she thinks. Will the truth set them free?	0.9631832452625946	False
155	tt0192111	14000000	13127022	Monica Potter	Freddie Prinze Jr.	Shalom Harlow	nm0005321	nm0005327	nm0363371	Head Over Heels	2001	86	Comedy,Mystery,Romance	nm0914134	nm0833828,nm0214036,nm0452235,nm0120816	5.4	13343	Amanda Pierce is from Iowa and works as a restorer of Renaissance paintings for the New York Metropolitan Museum. She has just finished another frustrating relationship, when she found her boy-friend with a model on her bed. She decides to move and share a flat with four stupid but nice super-models. She meets Jim Winston, who lives in front of her window. She falls in love with him. One day, she sees Jim killing a woman - Megan O'Brien - through her window and Amanda and her four roommates decide to investigate what really happened.	0.9376443615968312	False
4926	tt2219188	5059000	3289974	Kaya Yanar	Rutger Hauer	Gode Benedix	nm0945883	nm0000442	nm0070854	Agent Ranjid rettet die Welt	2012	78	Comedy	nm0439178	nm1763359,nm4380835,nm0850094,nm0945883	3.2	464	Agent Ranjid saves the world.	0.6503208835104005	False
459	tt0265307	6500000	2006391	Andy Garcia	Mick Jagger	Julianna Margulies	nm0000412	nm0001396	nm0000523	The Man from Elysian Fields	2001	106	Drama,Romance	nm0382584	nm0489626	6.6	3957	Byron Tiller, happily married with a young child, is a writer whose last novel has ended up in the remainder bins. Down on his luck and struggling to make ends meet, he keeps bashing away, refusing to admit that perhaps he is not that good. One day, at wit's end and feeling sorry for himself, he meets someone who has actually read his book: a rather elegant looking Englishman who introduces himself as Luther Fox. Luther runs an escort agency Elysian Fields, which provides extremely wealthy women with attractive, intelligent dates. Desperate for any job- and Luther guarantees good pay and convinces him that it can be only temporary -Byron reluctantly agrees, keeping the whole thing hidden from his wife. He soon finds himself face-to-face with an extremely attractive woman, whose aging husband is a Pulitzer Prize-winning novelist grappling with a novel that may be his last. Before long, Byron finds himself immersed in a world that he finds almost impossible to believe and even harder to...	0.3086754909730014	False
6413	tt6584902	607080	63718	Makan Nathan Diarra	Ibrahim Koma	Hamadoun Kassogué	nm8814697	nm1035622	nm1181578	Wallay	2017	84	Drama	nm3624708	nm2353941	6.6	95	Ady, a 13 year-old boy, no longer listens to his father, who raises him alone in southern France. The father running out of resources, decides to entrust Ady to his uncle Amadou for the summer. Uncle Amadou and his family live across the Mediterranean Sea in Burkina Faso! There, at 13 years of age, one must become a man but Ady, persuaded to go on holiday, understands things differently.	0.10495798748437192	False
511	tt0273435	15500000	2743336	Charles Aznavour	Brent Carver	Eric Bogosian	nm0002198	nm0142539	nm0091899	Ararat	2002	115	Drama,War	nm0000382	nm0000382	6.3	11033	People tell stories. In Toronto, an art historian lectures on Arshile Gorky (1904 -1948), an Armenian painter who lived through the Armenian Genocide in the Ottoman Empire. A director invites the historian to help him include Gorky's story in a film about the genocide and Turkish assault on the town of Van. The historian's family is under stress: her son is in love with his step-sister, who blames the historian for the death of her father. The daughter wants to revisit her father's death and change that story. An aging customs agent tells his son about his long interview with the historian's son, who has returned from Turkey with canisters of film. All the stories connect.	0.17698940793616724	False
5851	tt4158624	5000000	531046	Naomi Watts	Elle Fanning	Susan Sarandon	nm0915208	nm1102577	nm0000215	3 Generations	2015	92	Drama	nm0217433	nm2859868,nm0217433	5.9	5196	Family living under one roof in New York must deal with a life-changing transformation by one that ultimately affects them all. Ray is a teenager who has come to the realization that he isn't meant to be a girl and has decided to transition from female to male. His single mother, Maggie, must track down Ray's biological father to get his legal consent to allow Ray's transition. Dolly, Ray's lesbian grandmother, is having a hard time accepting that she now has a grandson. They must each confront their own identities and learn to embrace change and their strength as a family in order to ultimately find acceptance and understanding.	0.10620917875816424	False
500	tt0271027	25000000	64437847	Jet Li	Bridget Fonda	Tchéky Karyo	nm0001472	nm0000403	nm0001409	Kiss of the Dragon	2001	98	Action,Crime,Drama	nm0619599	nm0001472,nm0000108,nm0436543	6.6	58535	Liu Jian, a police officer from China, comes to Paris to help the vice squad apprehend a Chinese drug lord and his unknown French connection. The French connection is Richard, the head of the vice squad, who intends to kill the drug lord then frame Jian. Jian ducks a bullet and escapes with a tape of what really happened. By chance, Jian turns to Jessica - a US farm girl who is one of Richard's hookers - for help. She has her own problems, including the fact that Richard has her daughter locked in an orphanage to keep Jessica on the streets and silent about his activities. Can Jian protect Jessica, rescue her daughter, and give Richard the kiss of the dragon?	2.5775137768994494	True
1576	tt0413895	85000000	144877632	Dakota Fanning	Julia Roberts	Oprah Winfrey	nm0266824	nm0000210	nm0001856	Charlotte's Web	2006	97	Comedy,Family,Fantasy	nm0935095	nm0335666,nm0456732,nm0358839,nm0924754	6.3	34298	Based on the beloved children's novel by E.B. White, a young girl named Fern rescues a runty piglet, raises it as her own and names him Wilbur. However, after Wilbur grows into a pig, she is compelled to sell him to her Uncle Homer Zuckerman down the street. At Zuckerman's barn, Wilbur meets a host of animals and later learns from them that come winter, he will be slaughtered for food. Fearing for his life, Charlotte, a gentle and wise spider whom befriended the lonely Wilbur, vows to save his life.	1.7044427093594976	True
1681	tt0422774	28000000	58388068	Ice Cube	Nia Long	John C. McGinley	nm0001084	nm0000505	nm0001525	Are We Done Yet?	2007	92	Comedy,Family,Fantasy	nm0139867	nm0625026,nm1027958,nm1257282,nm0659085,nm0291035	4.2	18499	Newlyweds Nick and Suzanne decide to move to the suburbs to provide a better life for their two kids. But their idea of a dream home is disturbed by a contractor with a bizarre approach to business.	2.0852880683825687	True
833	tt0316396	100000000	121975011	Jeremy Sumpter	Jason Isaacs	Olivia Williams	nm0838911	nm0005042	nm0931404	Peter Pan	2003	113	Adventure,Family,Fantasy	nm0389591	nm0057381,nm0389591,nm0325533	6.8	62465	In stifling Edwardian London, Wendy Darling mesmerizes her brothers every night with bedtime tales of swordplay, swashbuckling, and the fearsome Captain Hook. But the children become the heroes of an even greater story, when Peter Pan flies into their nursery one night and leads them over moonlit rooftops through a galaxy of stars and to the lush jungles of Neverland. Wendy and her brothers join Peter and the Lost Boys in an exhilarating life--free of grown-up rules--while also facing the inevitable showdown with Hook and his bloodthirsty pirates.	1.219750097802499	True
5311	tt2788710	44000000	11305175	James Franco	Seth Rogen	Randall Park	nm0290556	nm0736622	nm1320827	The Interview	2014	112	Action,Adventure,Comedy	nm1698571,nm0736622	nm1003839,nm0736622,nm1698571	6.5	289983	"In the action-comedy The Interview, Dave Skylark (James Franco) and his producer Aaron Rapoport (Seth Rogen) run the popular celebrity tabloid TV show ""Skylark Tonight."" When they discover that North Korean dictator Kim Jong-un is a fan of the show, they land an interview with him in an attempt to legitimize themselves as journalists. As Dave and Aaron prepare to travel to Pyongyang, their plans change when the CIA recruits them, perhaps the two least-qualified men imaginable, to assassinate Kim Jong-un."	0.2569357896150957	False
5251	tt2649554	18000000	6212282	Michael Shannon	Joel Edgerton	Kirsten Dunst	nm0788335	nm0249291	nm0000379	Midnight Special	2016	112	Drama,Mystery,Sci-Fi	nm2158772	nm2158772	6.6	69155	Alton Meyer is a boy unlike any other in the world with bizarrely powerful abilities and strange weaknesses. In the middle of the night, his father, Roy, spirits him away from the isolated cult that practically worships him and is determined to regain him at all costs. At the same time, Alton's abilities have been noticed by the US government as well and they are equally insistent on getting to the bottom of this mystery with Paul Sevier of the National Security Agency leading the Federal pursuit with his own questions. These rival hunts force father and son into a desperate run towards a looming date with destiny that could change everything.	0.3451267586040689	False
4043	tt1560747	32000000	28258060	Philip Seymour Hoffman	Joaquin Phoenix	Amy Adams	nm0000450	nm0001618	nm0010736	The Master	2012	138	Drama	nm0000759	nm0000759	7.2	135296	Returning from Navy service in World War II, Freddie Quell drifts through a series of breakdowns. Finally he stumbles upon a cult which engages in exercises to clear emotions and he becomes deeply involved with them.	0.8830643474042391	False
1072	tt0351817	5000000	7372769	Hiroyuki Sanada	Rie Miyazawa	Nenji Kobayashi	nm0760796	nm0594533	nm0462042	The Twilight Samurai	2002	129	Drama,History,Romance	nm0945282	nm1330441,nm0945282,nm0038335	8.1	20813	Seibei Iguchi, a low-ranking samurai, leads a life without glory as a bureaucrat in the mid-XIX century Japan. A widower, he has charge of two daughters (whom he adores) and a senile mother; he must therefore work in the fields and accept piecework to make ends meet. New prospects seem to open up when Tomoe, his long-time love, divorces a brutal husband. However, even as the Japanese feudal system is unraveling, Seibei remains bound by the code of honour of the samurai and by his own sense of social precedences. The consequences are cruel.	1.474553505089299	True
6152	tt5194044	203600	22929	Hannes Muller	Franci Swanepoel	Chantell Phillipus	nm0612147	nm3169697	nm7723796	Abraham	2015	94	Drama	nm0712192	nm0712192	7.4	14	This is a story set in a beautiful little known part of rural South Africa. It centres around a man who lives in abject poverty. He has a native talent as a sculptor which he tries to exploit to earn enough money to feed his family. To say any more would mean spoilers.	0.11261732506225412	False
987	tt0338216	55000000	8382477	Eric Bana	Drew Barrymore	Robert Duvall	nm0051509	nm0000106	nm0000380	Lucky You	2007	124	Drama,Romance,Sport	nm0000436	nm0744839,nm0000436	5.9	19646	In Las Vegas, Huck Cheever is a poker player, brilliant but also prone to let emotion take over. It's the week of the poker world series, and Huck must come up with the $10,000 entry fee, which he wins, loses, borrows, and loses - and even steals part of from Billie Offer, an earnest young woman who's new in town and who catches Huck's eye. By the time the tournament starts, Huck owes everyone. Complicating things is the arrival of Huck's father, whom Huck detests for having left his mother, a champion player in town to win. Can Huck learn to play poker the way he lives and to live the way he plays poker? Or is his only flush the sound of his life going down the toilet?	0.152408669956206	False
6026	tt4769214	7531110	653866	Naomi Battrick	Sean Biggerstaff	James Cosmo	nm3117921	nm0081801	nm0181920	Whisky Galore	2016	98	Comedy,Romance	nm0533564	nm0533283,nm0534191,nm0568253	5.7	924	The story of the inhabitants of the isolated Scottish island of Todday, in the Outer Hebrides, where gloom sets in as their wartime rationing of whisky runs out. When cargo ship the SS Cabinet Minister runs aground the shrewd islanders run rings around the buffoonish English Home Guard commander Captain Waggett and conspire to hide away cases of the precious amber nectar.	0.08682198416674512	False
4100	tt1587263	2500000	4155173	Sedef Avci	Cemal Hünal	Begüm Kütük	nm1898746	nm0402116	nm1699434	Romantik Komedi	2010	95	Comedy,Romance	nm3773770	nm3252175,nm3774651	5.3	4343	Esra working for a logistics firm lives with her best friend Didem in the same house. She realizes at the wedding of her another best friend Zeynep that she has been leading a life she never wanted to. She decides to start a new life from the following day and quits her job and parts with her boyfriend. To celebrate her decision she goes out with Didem at night. Having been drunk, Esra finds herself in someone's car and in some stranger's arms at the end of the night. Esra and Didem will surprisingly come together with the men they met that night again.	1.662068535172586	True
5975	tt4634422	1416520	901435	Rodolfo Sancho	Irene Escolar	Raúl Mérida	nm0761110	nm1354955	nm3370311	The Broken Crown	2016	113	Drama,History	nm0289513	nm1346824	6.7	475	Early 16th century: following the death of Isabel la Católica, her widow Fernando de Aragón enters in an open war with his tyrannical son-in-law, Felipe el Hermoso, lord of Flandes, who wants to be the new king of the kingdom of Castilla above all. In the middle of the conflict his wife Juana, Fernando's daughter, turns in the center of attention caused by her unstable mind state. Trying to preserve the kingdom for their descendants, Fernando asks help Cardinal Cisneros in order to make a deal with Felipe, but this one has his own agenda looking to expel Fernando out of the Castilla to claim the throne for him, avoiding any contact between father and daughter that it could be an obstacle for his ambitions. But will can Juana to mediate between the two men of her life to prevent a war between the kingdoms that it annihilates the legacy and will of her beloved and deceased mother, or her growing insanity will be the perfect excuse to start the war?	0.6363724928892689	False
5669	tt3655972	4249560	2090232	Anna Castillo	Javier Gutiérrez	Pep Ambròs	nm1298582	nm0349522	nm3314114	The Olive Tree	2016	100	Comedy,Drama	nm0093081	nm0491956	6.8	2808	Alma is a young girl with emotional problems and a special relationship with her grandfather Ramón, an old country man who stopped talking about 12 years ago after his son, Alma's father, sold a 2000-years-old olive tree in order to open a restaurant. Dominated by the sadness and the melancholia by the loss of his most beloved tree, Ramon spends his days visiting the place where the olive tree was planted, hoping the day the tree returns. Unable to bear the situation any longer, Alma looking for the olive tree, discovering that it was acquired by a Germany's energy company located in Dusseldorf. Without money or resources, Alma convinces her uncle Alcachofa and her friend Rafa (who has a love interest for her) to go in a truck from Spain to Germany to recover the tree, starting a travel with unexpected consequences for everyone...	0.4918701014057688	False
3204	tt1144804	12500000	2998940	Sylvester Stallone	Denise Richards	Whoopi Goldberg	nm0000230	nm0000612	nm0000155	Incredible Love	2009	142	Action,Comedy,Romance	nm1287649	nm1287649,nm3002771,nm2101751,nm1375524	3.8	6237	After Hollywood stuntman, Lucky Doshi, gets married to Kamini Sandhu, his Punjab-born friend and fellow Universal Studio's colleague, Viraj Shergill, chastises him, while Kamini's man-hating surgeon friend, Simrita Rai, coaches her to not be intimate with him. Simrita and Viraj clash verbally several times but things change after he ruptures his intestine while filming a movie and is hospitalized. His life will undergo many changes after he finds out - much to his amazement - that Simrita loves him, without realizes that her feelings for him are temporarily motivated.	0.23991518080678556	False
2374	tt0780504	15000000	76176032	Ryan Gosling	Carey Mulligan	Bryan Cranston	nm0331516	nm1659547	nm0186505	Drive	2011	100	Crime,Drama	nm0716347	nm0024925,nm2201245	7.8	530262	This action drama follows a mysterious man who has multiple jobs as a garage mechanic, a Hollywood stuntman and a getaway driver seems to be trying to escape his shady past as he falls for his neighbor - whose husband is in prison and who's looking after her child alone. Meanwhile, his garage mechanic boss is trying to set up a race team using gangland money, which implicates our driver as he is to be used as the race team's main driver. Our hero gets more than he bargained for when he meets the man who is married to the woman he loves.	5.078401794773214	True
1176	tt0366596	1214160	644124	Jussi Nikkilä	Reino Nordin	Jarkko Niemi	nm1218753	nm0635107	nm1375978	Young Gods	2003	104	Drama	nm0797655	nm1375631,nm0896763	4.6	1749	"Taavi, who never goes anywhere without his video camera, and his young and wealthy friends find themselves on the cusp of adulthood. After throwing a wild party at the mansion left to him by his deceased parents, Taavi shoots video of the partygoers in their various states of undress and drunken sexual congress. What begins as a prank spurs Taavi and his friends Jere, Sami, and Markus to form a club, the only requirement for admission being that each young man must bring a tape of his latest sexual conquest to every club meeting. The risque game quickly degenerates into dangerous compulsion as relationships implode and the boys forsake their girlfriends in favor of prostitutes and ""swingers"". As currents of coercion and abuse enter the picture, each young man must ultimately confront his own morality in the viewfinder."	0.5305095452744735	False
2039	tt0463283	1517700	255439	Stefano Dionisi	Michel Serrault	Annette Schreiber	nm0227958	nm0785664	nm0775211	Antonio Vivaldi, un prince à Venise	2006	95	Drama	nm0347098	nm0347098	4.8	99	The life and death of the famous Venetian composer Antonio Vivaldi - known as the red priest. He was invited by all European courts, but he died in poverty and disappeared in anonymity only to be rediscovered in the first half of the 20th Century. Antonio was born into a poor family and ever since childhood he had been in bad health. He became a priest and as a young violin virtuoso eventually led an orchestra of illegitimate daughters of Venice's courtesans in a convent. Soon his music and operas were known at every European court; yet a thorn in the eye of the Bishop of Venice. He tried everything to stop the red-haired priest being involved with the Venetian high society. Finally, Vivaldi succeeds on leaving Venice and accepts an invitation to the Austrian Court. Unfortunately, he arrives there shortly after the death of the Emperor and subsequently never gets the anticipated engagement. He dies one year later in poverty in Vienna.	0.16830653732190992	False
4050	tt1562871	24000000	35911689	Shah Rukh Khan	Arjun Rampal	Kareena Kapoor	nm0451321	nm0992000	nm0004626	Ra.One	2011	156	Action,Adventure,Sci-Fi	nm1025280	nm0073026,nm2837117,nm1145539,nm0451321,nm1399170,nm1025280,nm8661566	4.6	36112	Following his son's suggestion, Shekhar designs an action-adventure video game where the antagonist is more powerful than the protagonist. The player has to fight in the first two levels to reach the third one where whoever fires the bullet first wins. The game is well-received on its opening night, but things go wrong when Prateek stops playing and quits the game in between, only to invite the wrath of Ra.One, the game's villain who uses an advanced technology to take on physical form. He wants to destroy Prateek, something only the game's protagonist, G.One, can prevent from happening.	1.4963203126533202	True
3997	tt1526306	3628800	1469181	Andrea Beltrão	Denise Weinberg	Lee Taylor	nm0069683	nm0918109	nm3643865	Time of Fear	2009	119	Crime,Drama,Thriller	nm0722109	nm5065894,nm0722109	6.3	449	"The widow piano teacher Lúcia and her unemployed teenage son Rafa move to a poor neighborhood in the periphery of São Paulo after the bankrupting of her pension plan. Rafa a.k.a. Pilot tells his mother that he is going to the movie theater with his friend Beto, but they go to a street racing instead in a car that Beto has stolen in the workshop where he works. While seeking the documents, they find a revolver in the glove compartment. When Rafa hits the car of a black man in a maneuver, he shoots Beto on the chest. Rafa takes the gun and accidentally kills a girl. He is sent to prison and during one visit, Lúcia meets the influent lawyer Ruiva and they befriend each other. Ruiva, who is one of the head of the criminal organization ""Party"", offers money to the needy Lúcia to help her in minor wrongdoings, such as bringing illegal stuff to the inmates. Meanwhile the leaders of the powerful criminal organization have inner fights; when they are sent to a maximum security prison, they ..."	0.40486678657771535	False
4156	tt1608776	461379	332292	Stig Frode Henriksen	Martin Hovden	Martin Hykkerud	nm2552337	nm3823034	nm2510326	Kurt Josef Wagle og legenden om Fjordheksa	2010	82	Comedy,Horror	nm2482088	nm2552337,nm2482088	5.8	1000	Is the fjord witch just a legend or could it be that Satan's bride lives within the woods of Grytefjord? Does Tordenskjold find himself or perhaps somebody completely else? Who would win a fight between Jesus and Harry potter? These and several other questions gets answered in Kurt Josef Wagle's lost videotapes...	0.7202132732238068	False
1069	tt0350261	30000000	18618284	Jennifer Lopez	Robert Redford	Morgan Freeman	nm0000182	nm0000602	nm0000151	An Unfinished Life	2005	108	Drama,Family,Romance	nm0002120	nm0819533,nm1552063	7.0	27656	To escape an abusive boyfriend, without announcing her plans in advance, Jean Gilkyson takes her young daughter Griff to the Wyoming ranch of her father-in-law, Einar. Jean and Einar are disaffected, as he blames her for the death of his son in a car accident. Einar is taking care of his friend Mitch, who was attacked by a bear, and Einar does not know that he has a granddaughter. While Mitch heals and forgives the bear, Einar also changes his feelings regarding Jean, finally understanding that accidents happen and accepting her and loving Griff.	0.6206094459796851	False
3840	tt1433810	1790100	678715	Prateik	Monica Dogra	Kriti Malhotra	nm3070408	nm3967480	nm3975117	Dhobi Ghat	2010	100	Drama	nm1444479	nm1444479	7.0	11753	"The lives of 4 different people in the city of Mumbai get entwined by fate and luck; Shai - an investment banker with a penchant for photography, Arun - a lonely painter, Munna - the ""dhobi"" who aspires to become an actor and Yasmin - making a video in her camcorder for her brother, who hasn't been to Mumbai before. The film follows how their lives are changed by the presence of one another. Will it be for better or for worse?"	0.3791489977381165	False
6305	tt5909128	5000000	1465048	Aleksey Chadov	Oksana Akinshina	Anton Shagin	nm1128120	nm0968541	nm2675654	Molot	2016	111	Action,Drama,Sport	nm1058265	nm2672655	4.7	208	Victor Stroev aka Russian Hammer is a youth Mix Fight champion willing to win the main fight of his career - the World Champion title. Hammer is right up there as a chance encounter turning into a fight with a sports mobster Shark ends up to be a tragedy for Victor. Victor gets into a terrible car crash that makes it doubtful that he will ever be able to go on with his career in sports, any blow can kill him. Vera whom Shark is trying to get, chooses Victor which makes Shark even more furious. Now Shark will do anything to make Russian Hammer get on the ring and make this fight the last one for him. Victor is not used to give up and ready to risk - he has to defend the honor of his country and the woman he loves. Vera realizes she has to betray Victor in order to save him.	0.2930095413980917	False
